COUNTRY_ID,CURRENCY_ID,NAME                           ,EU_GEOGRAPHIC_CODE,STATE_BASED_TAX,VALID_FROM,VALID_TO,EEA_FLG
NLD       ,EUR        ,Netherlands                    ,INTRA-EU          ,               ,01/01/2014,        ,Y
NOR       ,NOK        ,Norway                         ,NON-EU            ,               ,01/01/2014,        ,Y
NPL       ,NPR        ,Nepal                          ,NON-EC            ,               ,01/01/2014,        ,N
NRU       ,AUD        ,Nauru                          ,NON-EC            ,               ,01/01/2014,        ,N
NIU       ,NZD        ,Niue                           ,NON-EC            ,               ,01/01/2014,        ,N
NZL       ,NZD        ,New Zealand                    ,NON-EC            ,               ,01/01/2014,        ,N
OMN       ,OMR        ,Oman                           ,NON-EC            ,               ,01/01/2014,        ,N
PAN       ,PAB        ,Panama                         ,NON-EC            ,               ,01/01/2014,        ,N
PER       ,PEN        ,Peru                           ,NON-EC            ,               ,01/01/2014,        ,N
PYF       ,XPF        ,French Polynesia               ,NON-EC            ,               ,01/01/2014,        ,N
PNG       ,PGK        ,Papua New Guinea               ,NON-EC            ,               ,01/01/2014,        ,N
PHL       ,PHP        ,Philippines                    ,NON-EC            ,               ,01/01/2014,        ,N
PAK       ,PKR        ,Pakistan                       ,NON-EC            ,               ,01/01/2014,        ,N
POL       ,PLN        ,Poland                         ,INTRA-EU          ,               ,01/01/2014,        ,Y
SPM       ,EUR        ,Saint Pierre and Miquelon      ,NON-EC            ,               ,01/01/2014,        ,N
PCN       ,NZD        ,Pitcairn                       ,NON-EC            ,               ,01/01/2014,        ,N
PRI       ,USD        ,Puerto Rico                    ,NON-EC            ,               ,01/01/2014,        ,N
PSE       ,ILS        ,"Palestinian Territory, Occ"   ,NON-EC            ,               ,01/01/2014,        ,N
PRT       ,EUR        ,Portugal                       ,INTRA-EU          ,               ,01/01/2014,        ,Y
PLW       ,USD        ,Palau                          ,NON-EC            ,               ,01/01/2014,        ,N
PRY       ,PYG        ,Paraguay                       ,NON-EC            ,               ,01/01/2014,        ,N
QAT       ,QAR        ,Qatar                          ,NON-EC            ,               ,01/01/2014,        ,N
REU       ,EUR        ,Reunion                        ,NON-EC            ,               ,01/01/2014,        ,N
ROU       ,RON        ,Romania                        ,INTRA-EU          ,               ,02/02/2002,        ,Y
SRB       ,RSD        ,Serbia                         ,NON-EU            ,               ,01/01/2014,        ,N
RUS       ,RUB        ,Russian Federation             ,NON-EU            ,               ,01/01/2014,        ,N
RWA       ,RWF        ,Rwanda                         ,NON-EC            ,               ,01/01/2014,        ,N
SAU       ,SAR        ,Saudi Arabia                   ,NON-EC            ,               ,01/01/2014,        ,N
SLB       ,SBD        ,Solomon Islands                ,NON-EC            ,               ,01/01/2014,        ,N
SYC       ,SCR        ,Seychelles                     ,NON-EC            ,               ,01/01/2014,        ,N
SDN       ,SDG        ,Sudan                          ,NON-EC            ,               ,01/01/2014,        ,N
SWE       ,SEK        ,Sweden                         ,NON-EU            ,               ,01/01/2014,        ,Y
SGP       ,SGD        ,Singapore                      ,NON-EC            ,               ,01/01/2014,        ,N
SHN       ,SHP        ,"Saint Helena, Ascension TdC"  ,NON-EC            ,               ,01/01/2014,        ,N
SVN       ,EUR        ,Slovenia                       ,INTRA-EU          ,               ,01/01/2014,        ,Y
SJM       ,NOK        ,Svalbard and Jan Mayen         ,NON-EC            ,               ,01/01/2014,        ,N
SVK       ,EUR        ,Slovakia                       ,INTRA-EU          ,               ,01/01/2014,        ,Y
SLE       ,SLL        ,Sierra Leone                   ,NON-EC            ,               ,01/01/2014,        ,N
SMR       ,EUR        ,San Marino                     ,NON-EU            ,               ,01/01/2014,        ,N
SEN       ,XOF        ,Senegal                        ,NON-EC            ,               ,01/01/2014,        ,N
SOM       ,SOS        ,Somalia                        ,NON-EC            ,               ,01/01/2014,        ,N
SUR       ,SRD        ,Suriname                       ,NON-EC            ,               ,01/01/2014,        ,N
SSD       ,SSP        ,South Sudan                    ,NON-EC            ,               ,01/01/2014,        ,N
STP       ,STN        ,Sao Tome and Principe          ,NON-EC            ,               ,01/01/2014,        ,N
SLV       ,USD        ,El Salvador                    ,NON-EC            ,               ,01/01/2014,        ,N
SXM       ,ANG        ,Sint Maarten (Dutch part)      ,NON-EC            ,               ,01/01/2014,        ,N
SYR       ,SYP        ,Syrian Arab Republic           ,NON-EC            ,               ,01/01/2014,        ,N
SWZ       ,SZL        ,Swaziland                      ,NON-EC            ,               ,01/01/2014,        ,N
TCA       ,USD        ,Turks and Caicos Islands       ,NON-EC            ,               ,01/01/2014,        ,N
TCD       ,XAF        ,Chad                           ,NON-EC            ,               ,01/01/2014,        ,N
ATF       ,EUR        ,French Southern Territories    ,NON-EC            ,               ,01/01/2014,        ,N
TGO       ,XOF        ,Togo                           ,NON-EC            ,               ,01/01/2014,        ,N
THA       ,THB        ,Thailand                       ,NON-EC            ,               ,01/01/2014,        ,N
TJK       ,TJS        ,Tajikistan                     ,NON-EC            ,               ,01/01/2014,        ,N
TKL       ,NZD        ,Tokelau                        ,NON-EC            ,               ,01/01/2014,        ,N
TLS       ,USD        ,Timor-Leste                    ,NON-EC            ,               ,01/01/2014,        ,N
TKM       ,TMT        ,Turkmenistan                   ,NON-EC            ,               ,01/01/2014,        ,N
TUN       ,TND        ,Tunisia                        ,NON-EC            ,               ,01/01/2014,        ,N
TON       ,TOP        ,Tonga                          ,NON-EC            ,               ,01/01/2014,        ,N
TUR       ,TRY        ,Turkey                         ,NON-EU            ,               ,01/01/2014,        ,N
TTO       ,TTD        ,Trinidad and Tobago            ,NON-EC            ,               ,01/01/2014,        ,N
TUV       ,AUD        ,Tuvalu                         ,NON-EC            ,               ,01/01/2014,        ,N
TWN       ,TWD        ,"Taiwan, Province of China"    ,NON-EC            ,               ,01/01/2014,        ,N
TZA       ,TZS        ,"Tanzania, United Republic of" ,NON-EC            ,               ,01/01/2014,        ,N
UKR       ,UAH        ,Ukraine                        ,NON-EU            ,               ,01/01/2014,        ,N
UGA       ,UGX        ,Uganda                         ,NON-EC            ,               ,01/01/2014,        ,N
